1. Age	2. Gender	3. LGA/LCDA	4. How often do you bathe or shower per day?	5. Do you use any of the following regularly? (Tick all that apply)	6. How often do you consume the following foods? (Tick those eaten regularly)	7. Do you sweat excessively even when not active?	"8. Are you aware of any medical condition that may cause body odor (e.g., diabetes, thyroid disorder)?"	9. Do you have close relatives with persistent body odor?	10. Have you ever been told you have body odor?	"11. If yes, how did it affect you emotionally?"	12. Has body odor ever affected your social life or self-confidence?	13. Do you think body odor can cause social discrimination or stigmatization?	14. Have you tried any of the following to reduce body odor? (Tick all that apply)	15. Rate the effectiveness of your chosen remedies.	16. Do you believe some people naturally have stronger body odor due to their body chemistry or genetics?	17. Do you think body odor should be treated as a medical issue in some cases
35-44 years	Female	Ikosi Isheri	Twice	Deodorant/Antiperspirant	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	Yes	No	No	No	Not affected	No	Disagree	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Not effective	Yes	Yes
18-24 years	Female	Alimosho	More than twice	Deodorant/Antiperspirant	"Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Agree	Frequent Bathing	Very effective	Yes	Yes
25-34 years	Male	Mushin	Twice	Deodorant/Antiperspirant	"Processed foods, Diary (milk, yogurt, cheese etc)"	Yes	No	No	Yes	Severely embarrassed	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Somewhat effective	Yes	Yes
35-44 years	Female	Ifako Ijaiye	More than twice	Deodorant/Antiperspirant	Spicy foods	No	Yes	No	No	Not affected	No	Agree	Use of perfumes or deodorants	Very effective	Yes	Yes
25-34 years	Female	Surulere 	More than twice	Deodorant/Antiperspirant	Onions/Garlic	No	Yes	No	No	Not affected	No	Strongly agree	Use of perfumes or deodorants	Very effective	Yes	Yes
18-24 years	Male	Kosofe	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic"	No	Yes	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Southwest 	Twice	Antibacterial soap	Spicy foods	No	Not sure	No	No	Not affected	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Somewhat effective	Yes	Yes
18-24 years	Female	Lagos Island 	Twice	Antibacterial soap	Onions/Garlic	No	Yes	No	No	Not affected	No	Strongly agree	Frequent Bathing	Very effective	Yes	Yes
18-24 years	Male	Ojo	Once	None	"Diary (milk, yogurt, cheese etc)"	Yes	No	No	Yes	Indifferent	Not sure	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Somewhat effective	Yes	No
18-24 years	Female	Alimosho 	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	Spicy foods	No	Not sure	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Female	Surulere 	Twice	"Antibacterial soap, Deodorant/Antiperspirant, Talcum powder"	"Spicy foods, Red meat, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Shomolu	Twice	Deodorant/Antiperspirant	"Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Agree	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Very effective	No	Yes
25-34 years	Male	Ikorodu 	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Onions/Garlic, Processed foods"	Yes	No	No	No	Not affected	No	Strongly agree	Frequent Bathing	Very effective	Yes	Yes
25-34 years	Male	Ikorodu 	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Red meat"	Yes	No	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	No
18-24 years	Female	Shomolu	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Diary (milk, yogurt, cheese etc)"	No	No	Yes	No	Not affected	Yes	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Male	Shomolu 	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Processed foods"	No	No	Yes	No	Not affected	No	Strongly agree	Use of perfumes or deodorants	Somewhat effective	Yes	Yes
25-34 years	Female	Mushin 	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Shomolu	Twice	Deodorant/Antiperspirant	Spicy foods	No	No	Yes	Yes	Somewhat uncomfortable	No	Agree	Frequent Bathing	Very effective	Yes	Yes
25-34 years	Female	Akoka 	Twice	Deodorant/Antiperspirant	"Onions/Garlic, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Indifferent	No	Strongly agree	Use of perfumes or deodorants	Very effective	Yes	Yes
18-24 years	Female	Alimosho	Once	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Diary (milk, yogurt, cheese etc)"	No	Yes	No	Yes	Somewhat uncomfortable	Yes	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
35-44 years	Female	Apapa	Twice	Deodorant/Antiperspirant	"Spicy foods, Onions/Garlic, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Kosofe	Twice	"Deodorant/Antiperspirant, Herbal remedies"	Spicy foods	Yes	Not sure	No	No	Not affected	No	Neutral	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Very effective	Not sure	Yes
25-34 years	Female	Shomolu	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Diary (milk, yogurt, cheese etc)"	Yes	Yes	No	No	Somewhat uncomfortable	Yes	Agree	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Kosofe	More than twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Kosofe	More than twice	Deodorant/Antiperspirant	Red meat	No	No	No	No	Not affected	No	Strongly agree	Use of perfumes or deodorants	Very effective	Yes	Yes
25-34 years	Male	Mushin	Once	Deodorant/Antiperspirant	"Spicy foods, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Indifferent	No	Agree	Use of perfumes or deodorants	Not effective	Yes	Yes
25-34 years	Female	Ojo	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Agree	Frequent Bathing	Very effective	Not sure	Yes
18-24 years	Female	Ajah	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	Spicy foods	No	No	No	No	Indifferent	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Shomolu	More than twice	"Antibacterial soap, Deodorant/Antiperspirant"	Red meat	No	Not sure	No	No	Not affected	No	Strongly agree	Frequent Bathing	Very effective	Yes	Yes
35-44 years	Female	Eti-Osa	Twice	Deodorant/Antiperspirant	"Onions/Garlic, Red meat, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Somewhat uncomfortable	No	Strongly agree	Use of perfumes or deodorants	Very effective	No	Yes
25-34 years	Female	Alimosho	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	Yes	Yes	No	Yes	Severely embarrassed	No	Strongly agree	Use of perfumes or deodorants	Very effective	Yes	Yes
25-34 years	Male	Mushin	Once	"Antibacterial soap, Deodorant/Antiperspirant"	Spicy foods	No	Yes	No	Yes	Somewhat uncomfortable	Yes	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Ukwa West	Twice	"Deodorant/Antiperspirant, Herbal remedies"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	Not sure	Yes	Yes	Severely embarrassed	Yes	Strongly agree	"Frequent Bathing, Herbal/Traditional medicine, Use of perfumes or deodorants"	Somewhat effective	Yes	Yes
35-44 years	Female	Ikorodu	Twice	"Antibacterial soap, Herbel remedies"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	No	Yes	No	Not affected	No	Strongly agree	Use of perfumes or deodorants	Somewhat effective	Yes	Yes
35-44 years	Female	Ikorodu	Twice	Deodorant/Antiperspirant	"Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	Not sure	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Kosofe	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic"	No	Yes	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Kosofe	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	Spicy foods	Yes	Yes	No	No	Not affected	No	Agree	"Frequent Bathing, Medical consultation, Use of perfumes or deodorants"	Somewhat effective	No	Yes
25-34 years	Female	Ketu	Twice	Deodorant/Antiperspirant	"Diary (milk, yogurt, cheese etc)"	No	No	No	No	Indifferent	Not sure	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Male	Alimosho	Twice	Antibacterial soap	Onions/Garlic	No	No	No	No	Not affected	No	Agree	Frequent Bathing	Very effective	Yes	Yes
18-24 years	Female	Lagos 	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	No	Yes	No	Not affected	Yes	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	No	No
25-34 years	Female	Ibadan	Once	Deodorant/Antiperspirant	Onions/Garlic	No	No	No	No	Indifferent	No	Agree	Use of perfumes or deodorants	Very effective	Yes	Yes
18-24 years	Female	Surulere	Twice	"Deodorant/Antiperspirant, Herbal remedies"	"Spicy foods, Onions/Garlic, Processed foods"	No	Not sure	Yes	No	Not affected	No	Strongly agree	"Frequent Bathing, Herbal/Traditional medicine, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Ikorodu	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic"	No	No	No	No	Somewhat uncomfortable	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Surulere	More than twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Red meat, Processed foods"	Yes	No	Yes	No	Severely embarrassed	Yes	Strongly agree	"Frequent Bathing, Diet change/control, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Female	Ikeja	Twice	Deodorant/Antiperspirant	"Spicy foods, Onions/Garlic, Processed foods, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	No	Yes
55-64 years	Male	Ikeja	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	Yes	Yes	No	Yes	Severely embarrassed	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Male	Bariga	Twice	Deodorant/Antiperspirant	Spicy foods	No	Yes	No	No	Not affected	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Somewhat effective	Yes	Yes
25-34 years	Male	Benue State	More than twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	No	No	No	Not affected	No	Neutral	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Male	Owode Onirin	Twice	"Antibacterial soap, Talcum powder"	Processed foods	Yes	No	No	No	Indifferent	No	Agree	"Frequent Bathing, Medical consultation, Use of perfumes or deodorants"	Very effective	Yes	Yes
18-24 years	Female	Oshodi Isolo	Twice	Deodorant/Antiperspirant	"Spicy foods, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	Not sure	No	No	Not affected	No	Agree	Use of perfumes or deodorants	Very effective	Not sure	Yes
25-34 years	Female	Ikeja	Twice	Deodorant/Antiperspirant	"Spicy foods, Red meat, Processed foods"	No	Not sure	No	No	Indifferent	No	Strongly agree	Use of perfumes or deodorants	Very effective	No	Yes
25-34 years	Female	Ajeromi 	Twice	"Antibacterial soap, Deodorant/Antiperspirant, Herbal remedies"	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	Yes	No	No	Indifferent	Yes	Strongly agree	"Frequent Bathing, Diet change/control, Herbal/Traditional medicine, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Mushin 	Twice	Antibacterial soap	Spicy foods	Yes	Yes	No	No	Not affected	No	Strongly agree	Use of perfumes or deodorants	Very effective	No	Yes
45-54 years	Female	Badagry	More than twice	"Antibacterial soap, Deodorant/Antiperspirant, Talcum powder"	"Spicy foods, Onions/Garlic"	No	Not sure	No	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Ojodu	Twice	"Antibacterial soap, Deodorant/Antiperspirant"	"Spicy foods, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	Yes	No	No	Indifferent	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	No
35-44 years	Female	Lekki	Twice	Deodorant/Antiperspirant	"Spicy foods, Onions/Garlic, Red meat, Processed foods, Diary (milk, yogurt, cheese etc)"	No	Not sure	Yes	No	Not affected	No	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Not sure	Yes
18-24 years	Female	Alimosho	Once	"Antibacterial soap, Deodorant/Antiperspirant"	"Onions/Garlic, Processed foods"	No	No	Yes	Yes	Severely embarrassed	No	Agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Not sure	Yes
18-24 years	Female	Aguda	More than twice	Antibacterial soap	"Spicy foods, Red meat, Diary (milk, yogurt, cheese etc)"	No	Not sure	No	No	Indifferent	No	Disagree	"Frequent Bathing, Diet change/control, Medical consultation, Herbal/Traditional medicine, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Male	Ebute Metta	Twice	Deodorant/Antiperspirant	"Diary (milk, yogurt, cheese etc)"	No	Not sure	No	No	Not affected	No	Strongly agree	Use of perfumes or deodorants	Very effective	Yes	Yes
25-34 years	Male	Ketu	Twice	Antibacterial soap	Spicy foods	No	No	No	No	Somewhat uncomfortable	Yes	Strongly agree	"Frequent Bathing, Use of perfumes or deodorants"	Very effective	Yes	Yes
25-34 years	Female	Mushin	Twice	Deodorant/Antiperspirant	Red meat	No	Yes	No	No	Not affected	No	Agree	Use of perfumes or deodorants	Very effective	Yes	Yes
